Article S/N,Country Code,Country,Region,Date,Journal,h Index,Title,,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Model,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,First Author's Institution,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,EC,Internal Colaboration,IC,IEC,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Number of Funders,Funded/Not funded,Funding,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
25,14,Egypt,North Africa,2012,J Egypt Soc Parasitol ,,"Effect of 60 minutes exposure to electromagnetic field on fecundity, learning and memory, speed of movement and whole body protein of the fruit fly Drosophila melanogaster.",,1,Primary,1,3,,0,Fruit flies,,0,2,0,"Cairo University Giza, Egypt",Other Institutions,79,"Fayoum University, Fayoum, Egypt","FU Fayoum, Egypt",,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
26,14,Egypt,North Africa,2011,J Insect Sci ,,"Molecular phylogeny and identification of the peach fruit fly, Bactrocera zonata, established in Egypt.",,1,Primary,1,1,,0,Fruit flies,,0,1,0,"Tanta University Tanta, Egypt",Other Institutions,79,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
151,14,Egypt,North Africa,2020,J Econ Entomol,,Improving the Lifetime Efficiency of Trimedlure-Dispensing System in Trapping the Fruit Fly Ceratitis capitata Using Polyethylene Matrix,,1,1,1,1,,0,Fruit flies,"Bayoumy MH, El-Metwally MM, El-Adly RA, Majerus TMO.",0,5,1,Mansoura University,Other Institutions,79,Plant Protection Institute,,Egyptian Petroleum Research Institute,,,1,,,1,South Africa,,,,0,0,,,,,,,,,,,,,,,,
35,22,Kenya,East Africa,2015,Vector Borne Zoonotic Dis,,Isolation of Candidatus Rickettsia asemboensis from Ctenocephalides Fleas,,1,Primary,1,0,"Drosophila Genomics Resource Center; Bloomington, IN",1,Fruit flies,,0,2,0,"Kenya Medical Research Institute Kisumu, Kenya",Other Institutions,79,,,,,1,1,,,1,Maryland,,,0,0,0,,,,,,,,,,,,,,,,
154,22,Kenya,East Africa,2020,Curr Biol,,The Genome of Caenorhabditis bovis,,1,1,1,1,,0,C. elegans,"Stevens L, Rooke S, Falzon LC, Machuka EM, Momanyi K, Murungi MK, Njoroge SM, Odinga CO, Ogendo A, Ogola J, Fèvre EM, Blaxter M.",0,7,1,"International Livestock Research Institute, Kenya",Other Institutions,79,Kenya Medical Research Institute,,Busia County Government,Bungoma County Government,,1,,,1,Italy,,,4,1,3, the Zoonoses and Emerging Livestock Systems (ZELS) program,,Kenya,,,,University of Edinburgh’s Davis Fund,,UK,Baillie Gifford Studentship,,,International Food Policy Research Institute,IFPRI,FRANCE,
28,22,Kenya,East Africa,2019,Sci Rep,,Species-specific transcriptional profiles of the gut and gut microbiome of Ceratitis quilicii and Ceratitis rosa sensu stricto,,1,Primary,1,1,,0,Fruit flies,,0,5,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,"Agricultural and Livestock Research Organization, Kenya",ALRO Kenya,"Kenya Medical Research Institute, Kenya",KMRI Kenya,1,1,,,1,Italy,,,6,1,3,"ICIPE, Kenya",ICIPE Kenya,Kenya,Kenyan Government,KG,Kenya,"International Centre of Insect Physiology and Ecology Nairobi, Kenya",ICPE,Kenya,UK Aid (UK Government),UA,KK,Swedish International Development Cooperation Agency,SIDCA,Sweden,
29,22,Kenya,East Africa,2018,J Agric Food Chem,,Cucumber and Tomato Volatiles: Influence on Attraction in the Melon Fly Zeugodacus cucurbitate (Diptera: Tephritidae),,1,Primary,1,1,,0,Fruit flies,,0,3,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,"Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,1,1,,,1,USA,,,5,1,3,Kenyan Government,KG Kenya,Kenya,,,,USDA-ARS project no. 58-6615-3-011-F,USDA-ARS,USA,Swedish International Development Cooperation Agency (Sida) for a studentship to P.K.N.,SIDA,Sweden,UK Department for International Development (DFID),DFID,UK,
30,22,Kenya,East Africa,2018,J Agric Food Chem,,Identification of Glutamic Acid as a Host Marking Pheromone of the African Fruit Fly Species Ceratitis rosa (Diptera: Tephritidae),,1,Primary,1,1,,0,Fruit flies,,0,4,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,"Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,1,,Malawi,2,2,,,,5,1,3,Kenyan Government,KG Kenya,Kenya,,,,USDA-ARS project no. 58-6615-3-011-F,USDA-ARS,USA,Swedish International Development Cooperation Agency (SIDA) for a studentship to Xavier Cheseto,SIDA,Sweden,UK Department for International Development (DFID),DFID,UK,
31,22,Kenya,East Africa,2018,Insects,,Spatial Distribution of Bactrocera dorsalis and Thaumatotibia leucotreta in Smallholder Avocado Orchards along Altitudinal Gradient of Taita Hills and Mount Kilimanjaro,,1,Primary,1,0,Tanzania,0,Fruit flies,,0,6,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,"University of Nairobi, Kenya","UN Nirobi,  Kenya","CABI-Centre for Agriculture and Biosciences International, Africa Regional Centre, P.O. Box 633-621, Nairobi, Kenya",,1,,Tanzania,2,2,,Finland,,1,1,2,,,,,,,Ministry of Foreign Affairs of Finland ,MFA,Finland,,,,,,,
32,22,Kenya,East Africa,2017,J Agric Food Chem,,Identification of the Ubiquitous Antioxidant Tripeptide Glutathione as a Fruit Fly Semiochemical,,1,Primary,1,1,,0,Fruit flies,,0,4,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,"Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,,,,,0,,,,5,1,3,Kenyan Government,KG Kenya,Kenya,,,,USDA-ARS project no. 58-6615-3-011-F,USDA-ARS,USA,Swedish International Development Cooperation Agency (SIDA) for a studentship to Xavier Cheseto,SIDA,Sweden,UK Department for International Development (DFID),DFID,UK,
