Article S/N,Country Code,Country,Region,Date,Journal,Title,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Family,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,EC,Internal Colaboration,IC,IEC,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Number of Funders,Funded/Not funded,Fund,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
28,22,Kenya,East Africa,2018,J Agric Food Chem,Cucumber and Tomato Volatiles: Influence on Attraction in the Melon Fly Zeugodacus cucurbitate (Diptera: Tephritidae),1,Primary,1,1,,0,Tephritidae,,0,3,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,1,1,,,1,USA,,,5,1,3,Kenyan Government,KG Kenya,Kenya,,,,USDA-ARS project no. 58-6615-3-011-F,USDA-ARS,USA,Swedish International Development Cooperation Agency (Sida) for a studentship to P.K.N.,SIDA,Sweden,UK Department for International Development (DFID),DFID,UK,
29,22,Kenya,East Africa,2018,J Agric Food Chem,Identification of Glutamic Acid as a Host Marking Pheromone of the African Fruit Fly Species Ceratitis rosa (Diptera: Tephritidae),1,Primary,1,1,,0,Tephritidae,,0,4,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,1,,Malawi,2,2,,,,5,1,3,Kenyan Government,KG Kenya,Kenya,,,,USDA-ARS project no. 58-6615-3-011-F,USDA-ARS,USA,Swedish International Development Cooperation Agency (SIDA) for a studentship to Xavier Cheseto,SIDA,Sweden,UK Department for International Development (DFID),DFID,UK,
30,22,Kenya,East Africa,2003,Mycopathologia,"Pathogenicity of Metarhizium anisopliae (Metsch.) Sorokin and Beauveria bassiana (Balsamo) Vuillemin, to three adult fruit fly species: Ceratitis capitata (Weidemann), C. rosa var. fasciventris Karsch and C. cosyra (Walker) (Diptera :Tephritidae)",1,Primary,1,1,,0,Tephritidae,,0,2,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Kenyatta University Nairobi, Kenya","KU Nairobi, Kenya",,,,,,,0,,,,4,1,3,African Regional Postgraduate Programme in Insect Science (ARPPIS),ARPPIS Kenya,Kenya,"ICIPE, Kenya","ICIPE, Kenya",,IFAD funded African Fruit Fly Initiative project (AFFI),IFAD,Italy,"DAAD, Germany",DAAD,Germany,,,,
31,22,Kenya,East Africa,2012,J Econ Entomol,Evidence for potential of managing some African fruit fly species (Diptera: Tephritidae) using the mango fruit fly host-marking pheromone,1,Primary,1,1,,0,Tephritidae,,0,3,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,1,1,,,1,USA,,,1,1,2,,,,,,,German Academic Exchange Service,DAAD,Germany,,,,,,,
32,22,Kenya,East Africa,2017,J Agric Food Chem,Identification of the Ubiquitous Antioxidant Tripeptide Glutathione as a Fruit Fly Semiochemical,1,Primary,1,1,,0,Tephritidae,,0,4,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,,,,,0,,,,5,1,3,Kenyan Government,KG Kenya,Kenya,,,,USDA-ARS project no. 58-6615-3-011-F,USDA-ARS,USA,Swedish International Development Cooperation Agency (SIDA) for a studentship to Xavier Cheseto,SIDA,Sweden,UK Department for International Development (DFID),DFID,UK,
33,22,Kenya,East Africa,2017,PLoS One,At Lunch with a Killer: The Effect of Weaver Ants on Host-Parasitoid Interactions on Mango,1,Primary,1,1,,0,Tephritidae,,0,3,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,1,,,1,Germany,Australia,,1,1,2,,,,,,,German Ministry for Economic Cooperation and Development ,GMECD,Germany,,,,,,,
34,22,Kenya,East Africa,2018,Insects,Spatial Distribution of Bactrocera dorsalis and Thaumatotibia leucotreta in Smallholder Avocado Orchards along Altitudinal Gradient of Taita Hills and Mount Kilimanjaro,1,Primary,1,0,Tanzania,0,Tephritidae,,0,6,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","University of Nairobi, Kenya","UN Nirobi,  Kenya","CABI-Centre for Agriculture and Biosciences International, Africa Regional Centre, P.O. Box 633-621, Nairobi, Kenya",,1,,Tanzania,2,2,,Finland,,1,1,2,,,,,,,Ministry of Foreign Affairs of Finland ,MFA,Finland,,,,,,,
35,22,Kenya,East Africa,2009,J Econ Entomol,Evidence for competitive displacement of Ceratitis cosyra by the invasive fruit fly Bactrocera invadens (Diptera: Tephritidae) on mango and mechanisms contributing to the displacement,1,Primary,1,1,,0,Tephritidae,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,,,,,0,,,,2,1,3,international fund for agricultural development (ifad) kenya,IFAD Kenya,Kenya,,,,GermanMinistry for Economic Cooperation and Development (BMZ),GMECD,Germany,,,,,,,
36,22,Kenya,East Africa,2012,J Econ Entomol,Cold tolerance and disinfestation of Bactrocera invadens (Diptera: Tephritidae) in 'Hass' avocado,1,Primary,1,1,,0,Tephritidae,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,,South Africa,2,2,,,,2,1,3,"ICIPE, Kenya",ICIPE Kenya, South African Avocado Growers' Association,SAAGA,South Africa,,,,,,,,,,,
37,22,Kenya,East Africa,2012,PLoS One,"Taxonomic identity of the invasive fruit fly pest, Bactrocera invadens: concordance in morphometry and DNA barcoding",1,Primary,1,1,,0,Tephritidae,,0,4,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Kenyatta University Nairobi, Kenya","KU Nairobi, Kenya","Molecular Biology and Biotechnology Department, International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya",MBBD ICIPE Kenya,1,1,,,1,Belgium,,,2,1,2,,,,,,,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,the German Ministry of Economic Cooperation and Development (BMZ),GMED,Germany,,,,
38,22,Kenya,East Africa,2008,Bull Entomol Res,Comparison of five allopatric fruit fly parasitoid populations (Psyttalia species) (Hymenoptera: Braconidae) from coffee fields using morphometric and molecular methods,1,Primary,1,1,,1,Tephritidae,,0,3,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,1,,,1,UK,USA,,2,1,3,African Regional Postgraduate Programme in Insect Science (ARPPIS),ARPPIS Kenya,Kenya,,,,Dutch Government (DSO),DSO,Germany,"International Foundation for Science (IFS), Sweden ",IFS,Sweden,,,,
39,22,Kenya,East Africa,2019,Sci Rep,Species-specific transcriptional profiles of the gut and gut microbiome of Ceratitis quilicii and Ceratitis rosa sensu stricto,1,Primary,1,1,,0,Tephritidae,,0,5,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Agricultural and Livestock Research Organization, Kenya",ALRO Kenya,"Kenya Medical Research Institute, Kenya",KMRI Kenya,1,1,,,1,Italy,,,6,1,3,"ICIPE, Kenya",ICIPE Kenya,Kenya,Kenyan Government,KG,Kenya,"International Centre of Insect Physiology and Ecology Nairobi, Kenya",ICPE,Kenya,UK Aid (UK Government),UA,KK,Swedish International Development Cooperation Agency,SIDCA,Sweden,
40,22,Kenya,East Africa,2003,J Invertebr Pathol,Effect of soil temperature and moisture on survival and infectivity of Metarhizium anisopliae to four tephritid fruit fly puparia,1,Primary,1,1,,0,Tephritidae,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,,,,,0,,,,1,1,1,"IFAD, Kenya",IFAD Kenya,Kenya,,,,,,,,,,,,,
41,22,Kenya,East Africa,2015,Vector Borne Zoonotic Dis,Isolation of Candidatus Rickettsia asemboensis from Ctenocephalides Fleas,1,Primary,1,0,"Drosophila Genomics Resource Center; Bloomington, IN",1,Drosophilidae,,0,2,0,"Kenya Medical Research Institute Kisumu, Kenya",KMRI Kenya,,,,,1,1,,,1,Maryland,,,0,0,0,,,,,,,,,,,,,,,,
42,22,Kenya,East Africa,2006,Bull Entomol Res,"Contribution of natural food sources to reproductive behaviour, fecundity and longevity of Ceratitis cosyra, C. fasciventris and C. capitata (Diptera: Tephritidae)",1,Primary,1,1,,0,Tephritidae,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,,Mauritius,2,2,,,,2,1,1,"ICIPE, Kenya",ICIPE Kenya,Kenya,international fund for agricultural development (ifad) kenya,IFAD Kenya,Kenya,,,,,,,,,,
43,22,Kenya,East Africa,2011,J Econ Entomol,Cold susceptibility and disinfestation of Bactrocera invadens (Diptera: Tephritidae) in oranges,1,Primary,1,1,,0,Tephritidae,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,,South Africa,2,2,,,,2,1,1,"ICIPE, Kenya",ICIPE Kenya,Kenya,,,,,,,,,,,,,
